ix,iy,x,y,T_K,theta,ux_star,uy_star
43,7,0.895833,0.145833,296.396,0.139584,0.720394,1.11141
44,7,0.916667,0.145833,296.096,0.109601,0.501405,1.01844
45,7,0.9375,0.145833,295.805,0.0805023,0.308185,0.873517
46,7,0.958333,0.145833,295.526,0.0526215,0.151254,0.667216
47,7,0.979167,0.145833,295.264,0.0263672,0.0433002,0.389855
48,7,1,0.145833,295,0,0,0
0,8,0,0.166667,305,1,0,0
1,8,0.0208333,0.166667,304.907,0.99068,0.0326496,-0.304617
2,8,0.0416667,0.166667,304.811,0.981058,0.116691,-0.549737
3,8,0.0625,0.166667,304.703,0.970337,0.241987,-0.75642
4,8,0.0833333,0.166667,304.587,0.958746,0.400155,-0.925926
5,8,0.104167,0.166667,304.464,0.946442,0.584074,-1.05994
6,8,0.125,0.166667,304.335,0.933527,0.787562,-1.16062
7,8,0.145833,0.166667,304.201,0.920071,1.00516,-1.23047
8,8,0.166667,0.166667,304.061,0.906128,1.23198,-1.27222
9,8,0.1875,0.166667,303.918,0.891754,1.46361,-1.28873
10,8,0.208333,0.166667,303.77,0.877008,1.69612,-1.28288
11,8,0.229167,0.166667,303.619,0.86192,1.92599,-1.25747
12,8,0.25,0.166667,303.465,0.846536,2.15008,-1.21517
13,8,0.270833,0.166667,303.309,0.830881,2.36567,-1.15851
14,8,0.291667,0.166667,303.15,0.814969,2.57038,-1.0898
15,8,0.3125,0.166667,302.988,0.798813,2.76218,-1.01116
16,8,0.333333,0.166667,302.824,0.782419,2.93934,-0.92447
17,8,0.354167,0.166667,302.658,0.765768,3.10042,-0.831416
18,8,0.375,0.166667,302.489,0.748853,3.24422,-0.733443
19,8,0.395833,0.166667,302.316,0.731647,3.3698,-0.631793
20,8,0.416667,0.166667,302.141,0.714117,3.47635,-0.527504
21,8,0.4375,0.166667,301.962,0.696237,3.5633,-0.421418
22,8,0.458333,0.166667,301.78,0.677957,3.63017,-0.314193
23,8,0.479167,0.166667,301.592,0.659235,3.67662,-0.20632
24,8,0.5,0.166667,301.4,0.640015,3.7024,-0.0981607
25,8,0.520833,0.166667,301.202,0.620245,3.70737,0.0100569
26,8,0.541667,0.166667,300.999,0.599875,3.69142,0.118199
27,8,0.5625,0.166667,300.788,0.578842,3.65453,0.226202
28,8,0.583333,0.166667,300.571,0.557101,3.59674,0.334026
29,8,0.604167,0.166667,300.346,0.534595,3.51816,0.44164
30,8,0.625,0.166667,300.113,0.511279,3.41899,0.548956
31,8,0.645833,0.166667,299.871,0.487115,3.29949,0.655768
32,8,0.666667,0.166667,299.621,0.462082,3.16008,0.761724
33,8,0.6875,0.166667,299.362,0.43616,3.00135,0.866222
34,8,0.708333,0.166667,299.094,0.409351,2.82408,0.96834
