X_um,Z_um,T_K
50.00,53.00,300.0
52.00,53.00,300.0
54.00,53.00,300.0
56.00,53.00,300.0
58.00,53.00,300.0
60.00,53.00,300.0
62.00,53.00,300.0
64.00,53.00,300.0
66.00,53.00,300.0
68.00,53.00,300.0
70.00,53.00,300.0
72.00,53.00,300.0
74.00,53.00,300.0
76.00,53.00,300.0
78.00,53.00,300.0
80.00,53.00,300.0
82.00,53.00,300.0
84.00,53.00,300.0
86.00,53.00,300.0
88.00,53.00,300.0
90.00,53.00,300.0
92.00,53.00,300.0
94.00,53.00,300.0
96.00,53.00,300.0
98.00,53.00,300.0
100.00,53.00,300.1
102.00,53.00,300.1
104.00,53.00,300.1
106.00,53.00,300.0
108.00,53.00,300.0
110.00,53.00,300.0
112.00,53.00,300.0
114.00,53.00,300.0
116.00,53.00,300.0
118.00,53.00,300.0
120.00,53.00,300.0
122.00,53.00,300.0
124.00,53.00,300.0
126.00,53.00,300.0
128.00,53.00,300.0
130.00,53.00,300.0
132.00,53.00,300.0
134.00,53.00,300.0
136.00,53.00,300.0
138.00,53.00,300.0
140.00,53.00,300.0
142.00,53.00,300.0
144.00,53.00,300.0
146.00,53.00,300.0
148.00,53.00,300.0
150.00,53.00,300.0
152.00,53.00,300.0
154.00,53.00,300.0
156.00,53.00,300.0
158.00,53.00,300.0
160.00,53.00,300.0
162.00,53.00,300.0
164.00,53.00,300.0
166.00,53.00,300.0
168.00,53.00,300.0
170.00,53.00,300.0
172.00,53.00,300.0
174.00,53.00,300.0
176.00,53.00,300.0
178.00,53.00,300.0
180.00,53.00,300.0
182.00,53.00,300.0
184.00,53.00,300.0
186.00,53.00,300.0
188.00,53.00,300.0
190.00,53.00,300.0
192.00,53.00,300.0
194.00,53.00,300.0
196.00,53.00,300.0
198.00,53.00,300.0
0.00,55.00,300.0
2.00,55.00,300.0
4.00,55.00,300.0
6.00,55.00,300.0
8.00,55.00,300.0
10.00,55.00,300.0
12.00,55.00,300.0
14.00,55.00,300.0
16.00,55.00,300.0
18.00,55.00,300.0
20.00,55.00,300.0
22.00,55.00,300.0
24.00,55.00,300.0
26.00,55.00,300.0
28.00,55.00,300.0
30.00,55.00,300.0
32.00,55.00,300.0
34.00,55.00,300.0
36.00,55.00,300.0
38.00,55.00,300.0
40.00,55.00,300.0
42.00,55.00,300.0
44.00,55.00,300.0
46.00,55.00,300.0
48.00,55.00,300.0
50.00,55.00,300.0
52.00,55.00,300.0
54.00,55.00,300.0
56.00,55.00,300.0
58.00,55.00,300.0
60.00,55.00,300.0
62.00,55.00,300.0
64.00,55.00,300.0
66.00,55.00,300.0
68.00,55.00,300.0
70.00,55.00,300.0
72.00,55.00,300.0
74.00,55.00,300.0
76.00,55.00,300.0
78.00,55.00,300.0
80.00,55.00,300.0
82.00,55.00,300.0
84.00,55.00,300.0
86.00,55.00,300.0
88.00,55.00,300.1
90.00,55.00,300.1
92.00,55.00,300.1
94.00,55.00,300.1
96.00,55.00,300.1
98.00,55.00,300.1
100.00,55.00,300.1
102.00,55.00,300.1
104.00,55.00,300.1
106.00,55.00,300.1
108.00,55.00,300.1
110.00,55.00,300.1
112.00,55.00,300.1
114.00,55.00,300.1
116.00,55.00,300.1
118.00,55.00,300.0
120.00,55.00,300.0
122.00,55.00,300.0
124.00,55.00,300.0
126.00,55.00,300.0
128.00,55.00,300.0
130.00,55.00,300.0
132.00,55.00,300.0
134.00,55.00,300.0
136.00,55.00,300.0
138.00,55.00,300.0
